sentence_id	sentence	locale	reason
0f37009246d4a8d485a242ad540bde0cd4a9b01a9c6561a7b7d8bd447fd733e0	According to Vasari, he was a nephew of Taddeo di Bartolo.	en	offensive-language
0f37009246d4a8d485a242ad540bde0cd4a9b01a9c6561a7b7d8bd447fd733e0	According to Vasari, he was a nephew of Taddeo di Bartolo.	en	grammar-or-spelling
0f37009246d4a8d485a242ad540bde0cd4a9b01a9c6561a7b7d8bd447fd733e0	According to Vasari, he was a nephew of Taddeo di Bartolo.	en	different-language
0f37009246d4a8d485a242ad540bde0cd4a9b01a9c6561a7b7d8bd447fd733e0	According to Vasari, he was a nephew of Taddeo di Bartolo.	en	difficult-pronounce
0f57e3bfa7b3f56037ef1c6ff6dc849e2e4004363d772651b7da298669260f5c	The scales on all "Ablepharus" species are shiny and bronze in appearance.	en	grammar-or-spelling
0f23be28e61e45d78ca22a48e37edb7d77ba18bf5f0f8caf5abca2d775e82ba6	His Paschales atque nouiluniorum mensurni canones.	en	different-language
0f7d3de0aa15c5e13ea7acee84c4d9163daa979f38af2ebde4c89798e71ad6ad	An average floater has of positive buoyancy in fresh water.	en	grammar-or-spelling
0f23be28e61e45d78ca22a48e37edb7d77ba18bf5f0f8caf5abca2d775e82ba6	His Paschales atque nouiluniorum mensurni canones.	en	different-language
0f23be28e61e45d78ca22a48e37edb7d77ba18bf5f0f8caf5abca2d775e82ba6	His Paschales atque nouiluniorum mensurni canones.	en	different-language
0feb336853daa2cadc02241acd9bb3c38d0b27362e0a24b43ce155c04333c641	LaFayette is home to an antebellum church, the Lafayette Methodist Church.	en	difficult-pronounce
0ff36aebd88a3d63e06528f9e13e8786c56e9705113c8598026086a6cc0de1b0	The stream has been sometimes called a river and sometimes a creek.	en	offensive-language
0ff36aebd88a3d63e06528f9e13e8786c56e9705113c8598026086a6cc0de1b0	The stream has been sometimes called a river and sometimes a creek.	en	grammar-or-spelling
0ff36aebd88a3d63e06528f9e13e8786c56e9705113c8598026086a6cc0de1b0	The stream has been sometimes called a river and sometimes a creek.	en	different-language
0ff36aebd88a3d63e06528f9e13e8786c56e9705113c8598026086a6cc0de1b0	The stream has been sometimes called a river and sometimes a creek.	en	difficult-pronounce
0ff36aebd88a3d63e06528f9e13e8786c56e9705113c8598026086a6cc0de1b0	The stream has been sometimes called a river and sometimes a creek.	en	(951) 545-4088mhz
10290a0c772ad9e40e69a39014989855fede539425d6015f1f8e9f3134d402e0	He grew up in various locales dictated by the requirements of his father's profession.	en	offensive-language
103a78f8f9b304d6024c1ffd714514295dd39451095a3c5a9508f4b764bb5926	Clavell translates Tai-Pan as "Supreme Leader".	en	different-language
0fdae94c2f621d649334a9ddd70f731713633586490112d8132464f424567799	Prominent early membera were Sir John Barrow and Alexander Burnes.	en	grammar-or-spelling
07af6a4e56941a67d31f8f3f0ea8c1c4a67695d38f7d8bc0c03aec56e5b8d5b2	You great booby!	en	grammar-or-spelling
07af6a4e56941a67d31f8f3f0ea8c1c4a67695d38f7d8bc0c03aec56e5b8d5b2	You great booby!	en	offensive-language
10b1605a57a087163570df22acd309a73bdde4b4a3f02da57777fb48aad03ebe	He returned to South America to join Nacional of Uruguay.	en	grammar-or-spelling
1108214bdeaab267c251bcb244b6c388195f7e885e1a3a85a486a546691b5d2c	Only certain calculators are capable of being used for beghilos calculator spelling.	en	difficult-pronounce
1104881512adf524c63753fb638734a5f46ae3dd804695b63fc16c4a29c7c432	The retail management utilizes Retalix software and is split into two divisions.	en	difficult-pronounce
110e031e0b42a8d8b2548d09046e9580cbdd34000f7a69d7feff7194b5700dc0	However, a throw is not required for a stolen base.	en	offensive-language
110e031e0b42a8d8b2548d09046e9580cbdd34000f7a69d7feff7194b5700dc0	However, a throw is not required for a stolen base.	en	grammar-or-spelling
110e031e0b42a8d8b2548d09046e9580cbdd34000f7a69d7feff7194b5700dc0	However, a throw is not required for a stolen base.	en	different-language
110e031e0b42a8d8b2548d09046e9580cbdd34000f7a69d7feff7194b5700dc0	However, a throw is not required for a stolen base.	en	difficult-pronounce
1130ab41dc9f90275cc645bf05b4ce52231fa3bced8355c97cded23af9044291	It operates Macdonald High School.	en	Chugged r draft


11aafc5ffdc39fbe0c5295c15aa1e93109f6e390bc99c1ce13dcf138c459cc69	The janggi elephant can therefore be used more offensively than the xiangqi elephant.	en	different-language
11aafc5ffdc39fbe0c5295c15aa1e93109f6e390bc99c1ce13dcf138c459cc69	The janggi elephant can therefore be used more offensively than the xiangqi elephant.	en	difficult-pronounce
117d3e0de36fdab3e89d699587d6fca7ef7e9833b7990647eea672d80fb3e455	All of these were awarded for rescue operations.	en	vishnu
116a2a0b94da917f579f4c50aaf9c579e7d9f69f3a82bd3cbfe7ece81a2fb902	A bit later, other smaller developments were started west of the ferry location.	en	grammar-or-spelling
116a2a0b94da917f579f4c50aaf9c579e7d9f69f3a82bd3cbfe7ece81a2fb902	A bit later, other smaller developments were started west of the ferry location.	en	difficult-pronounce
11adc1237678cb0a9779923d532929f0f028d6e171ce03368a8ea69e6383ef89	To some they were the spirit of fate, and therefore of great importance.	en	Bb
11cfd5633ba043d0140f06c345a7ece59d218e4f641e94a636114c015d892b52	The next stage for him was to conquest skies.	en	grammar-or-spelling
11ca4a40f722bb17f60a0a869efaeebd56468a2a0b8513e7fa8a156481ada600	The role of Snyder was originally intended for Spencer Tracy, who turned in down.	en	grammar-or-spelling
11bfc92ccd1236f488f33baf6f94851ff9c9b62ec43c9afbd0597a5613c4042f	This was a long sound, but over time, the vowel developed to an sound.	en	grammar-or-spelling
11d66899006e7d512c1364aba18945f05953b5a15ce40af0fc18e60c607382ba	From here it gains the name Blanding Boulevard from here to its northern terminus.	en	grammar-or-spelling
11c0e4a70f24b7b81e2d898e1d32285768f93b5262bcde99639200a4677cad30	He grew up in city of Maiduguri and attended primary schools in the city.	en	grammar-or-spelling
11eee1e1385da914d16c30d9433125ca245e3c417d1573691f3d66f997c5ee4f	Jessore district once belonged to the ancient Janapada kingdom of Samatat Janapada.	en	difficult-pronounce
123f8d24cfb80c8c7de5555d8268c07c6f36e41ae0c4387c635980c0278a0325	King Eystein's two sons and their men fought, but both Hogne and Frode died.	en	difficult-pronounce
12439f7ff5becf3d766f0ebb5e6408e9519fc9cdc1675203af2c4a0b50f0f6be	The railway station is on the now closed Eugowra railway line.	en	difficult-pronounce
124468d0277062a1a639cb5b07169faa7e2de27543e5e44be6dfa72c244e0faa	The village is located along the Payerne-Thierrens road.	en	offensive-language
124468d0277062a1a639cb5b07169faa7e2de27543e5e44be6dfa72c244e0faa	The village is located along the Payerne-Thierrens road.	en	grammar-or-spelling
124468d0277062a1a639cb5b07169faa7e2de27543e5e44be6dfa72c244e0faa	The village is located along the Payerne-Thierrens road.	en	different-language
124468d0277062a1a639cb5b07169faa7e2de27543e5e44be6dfa72c244e0faa	The village is located along the Payerne-Thierrens road.	en	difficult-pronounce
12886a80d68b01be8cb31a57e5ec1625af1697703b12095630a1b0cfcb8e02a1	Worthington's preferred style was the Gothic and his building designs were often similar.	en	offensive-language
12886a80d68b01be8cb31a57e5ec1625af1697703b12095630a1b0cfcb8e02a1	Worthington's preferred style was the Gothic and his building designs were often similar.	en	grammar-or-spelling
12886a80d68b01be8cb31a57e5ec1625af1697703b12095630a1b0cfcb8e02a1	Worthington's preferred style was the Gothic and his building designs were often similar.	en	different-language
12886a80d68b01be8cb31a57e5ec1625af1697703b12095630a1b0cfcb8e02a1	Worthington's preferred style was the Gothic and his building designs were often similar.	en	difficult-pronounce
124db8e3b0a193363ed84185025bd4c32f7d4d40d39f1d5fa5631ba94272837e	A pious man, Theodore patronized the Archbishop of Ravenna during his tenure.	en	offensive-language
124db8e3b0a193363ed84185025bd4c32f7d4d40d39f1d5fa5631ba94272837e	A pious man, Theodore patronized the Archbishop of Ravenna during his tenure.	en	grammar-or-spelling
124db8e3b0a193363ed84185025bd4c32f7d4d40d39f1d5fa5631ba94272837e	A pious man, Theodore patronized the Archbishop of Ravenna during his tenure.	en	different-language
124db8e3b0a193363ed84185025bd4c32f7d4d40d39f1d5fa5631ba94272837e	A pious man, Theodore patronized the Archbishop of Ravenna during his tenure.	en	difficult-pronounce
124db8e3b0a193363ed84185025bd4c32f7d4d40d39f1d5fa5631ba94272837e	A pious man, Theodore patronized the Archbishop of Ravenna during his tenure.	en	Na dam maw
12d2daf4fdda7b062678beda6ea76bf50bf1103c7d8cce4c58d089f2aad89d7e	Espionage and intrigue were often featured instead of straightforward battles.	en	offensive-language
12d2daf4fdda7b062678beda6ea76bf50bf1103c7d8cce4c58d089f2aad89d7e	Espionage and intrigue were often featured instead of straightforward battles.	en	grammar-or-spelling
12d2daf4fdda7b062678beda6ea76bf50bf1103c7d8cce4c58d089f2aad89d7e	Espionage and intrigue were often featured instead of straightforward battles.	en	different-language
12d2daf4fdda7b062678beda6ea76bf50bf1103c7d8cce4c58d089f2aad89d7e	Espionage and intrigue were often featured instead of straightforward battles.	en	difficult-pronounce
12d2daf4fdda7b062678beda6ea76bf50bf1103c7d8cce4c58d089f2aad89d7e	Espionage and intrigue were often featured instead of straightforward battles.	en	FRF;D''FVVVFBLSFDLKLNMSPLDDOFL\
FFCDFKGVGOF; KDVJUL;DH
1254950a29c2a2473fd9531ddab789bdae0c803ab4cb33f9b0299e4995512f6b	The chelifores of the Pycnogonida may be homologous to chelicerae.	en	difficult-pronounce
130e28dc7c28044d3fba67c84a3cafd8aa0de6acd2729a96615071e4d24b4151	On rollover of an individual result a bunch of red lines connected related links.	en	offensive-language
13a08c305dc3b93db98e04d8f674fc97fb9545c03fc9169469d3e55e9db9bd44	A mistral gagnant was a kind of candy and lottery.	en	different-language
13a08c305dc3b93db98e04d8f674fc97fb9545c03fc9169469d3e55e9db9bd44	A mistral gagnant was a kind of candy and lottery.	en	difficult-pronounce
142bb5478a9b9bb14b00f69e71b26fe9caeb8fa3ac91da3f671de237bec36ffc	There is also the city of Oak Grove in Jackson and Lafayette Counties.	en	difficult-pronounce
1427b6ac2e1f4e5d7d22d9ccb7aa9bcc38e512de596465deb14eff62f114a1fb	The Senior School is divided into five separate houses.	en	offensive-language
1427b6ac2e1f4e5d7d22d9ccb7aa9bcc38e512de596465deb14eff62f114a1fb	The Senior School is divided into five separate houses.	en	grammar-or-spelling
1427b6ac2e1f4e5d7d22d9ccb7aa9bcc38e512de596465deb14eff62f114a1fb	The Senior School is divided into five separate houses.	en	different-language
1427b6ac2e1f4e5d7d22d9ccb7aa9bcc38e512de596465deb14eff62f114a1fb	The Senior School is divided into five separate houses.	en	difficult-pronounce
1427b6ac2e1f4e5d7d22d9ccb7aa9bcc38e512de596465deb14eff62f114a1fb	The Senior School is divided into five separate houses.	en	Redeculass

148ce6803a8f3fff231523af2324023404276c4650f87ca211434a88fefd9fce	However, the new phenomenon of tussentaal is becoming widespread.	en	difficult-pronounce
14914323416b826aa464ad6d74da3d7f1a914e382e01ba40fc085e0b9f505573	The Maasvlakte features various big companies and some smaller ones.	en	difficult-pronounce
14a92a2707ebfce8663fff79b259134f2f6294bff682fa557226a59a71104e92	The elders used to sacrifice to the Askafroa on the morning of Ash Wednesday.	en	difficult-pronounce
14b29fc7e643daa13c072dd12751452c98c2450c34bed6131b85925bd9ab458f	The trestle is long and high.	en	offensive-language
14d0c3d7d924d1150ae737de5d902560b3345ae0be1e55011959e7a43761046a	However, some roads are maintained by the federal government.	en	grammar-or-spelling
14d0c3d7d924d1150ae737de5d902560b3345ae0be1e55011959e7a43761046a	However, some roads are maintained by the federal government.	en	different-language
14d0c3d7d924d1150ae737de5d902560b3345ae0be1e55011959e7a43761046a	However, some roads are maintained by the federal government.	en	difficult-pronounce
14d0c3d7d924d1150ae737de5d902560b3345ae0be1e55011959e7a43761046a	However, some roads are maintained by the federal government.	en	0964341800

14cfe6ed3233e530a2d34bfde48e016d4be2509ac78f5abd942e06757043fbec	Sam Steinberg's Ivanhoe Corporation is a shareholder of the mall.	en	grammar-or-spelling
147dda7f67de8131b5551300d171917bb6f0ec71ca6288202a5211c5ebe97880	Hence the hyperbolic paraboloid is a conoid.	en	grammar-or-spelling
14cb44cfdc7d9fcd7db540535b9b0d48fcc8be76ae10549eb25e42dd94b195c3	The field is traditionally set the Sunday before Thanksgiving and play begins that weekend.	en	grammar-or-spelling
14d1fd478903127a3c04e7f4423311d502ee962998d999807b56e27111ca7f56	S. A. Stanton in command, and was assigned to the Asiatic Fleet.	en	grammar-or-spelling
1515e577dd48a0b8471e996293b11f3ac252bdceefba5955e23f9b588cef2cd7	Therefore, some believe that the word Kranai literary means "rocky, rock".	en	grammar-or-spelling
1514ea9aa77ff5bad189b1ecd101b8509d7f97853260320323878e18581a41a3	Another climber was slipped and fell on the descent and died during the night.	en	grammar-or-spelling
150ee43076c5a6dece95aebe4d74586201c8bf60374f7196f868966949393e91	Euler's rule creates additional amicable pairs for with no others being known.	en	grammar-or-spelling
1516de3a4c845996ef25cd8d7592d9ba7ef4501607a8810fa7e43b9f3f3b460c	It runs for in an extended loop through Powys between Knighton and Welshpool.	en	grammar-or-spelling
14e29d70c4c461a3776cc2ae8ae24d1a899123319efbe17867d8c073327ea15b	Euskotren Trena connects the town directly with Bilbao, Guernica, Amorebieta-Etxano, Biscay and Gipuzkoa.	en	Page keeps saying "The recording was too long." It wasn't.
14f70c8d1bdb26715edc9334f38228ced995c0ebe67a9dbefb588424318b8379	See also McCloud versus State, Ariz. Dep't of Pub.	en	difficult-pronounce
14e800ee07701c7ab57f0f30d47ae2df64105385ae555d08874e3da2983d0cbb	The committee's purpose: communicate circumstances and revolutionary sentiment among the colonies.	en	difficult-pronounce
14e800ee07701c7ab57f0f30d47ae2df64105385ae555d08874e3da2983d0cbb	The committee's purpose: communicate circumstances and revolutionary sentiment among the colonies.	en	offensive-language
14e800ee07701c7ab57f0f30d47ae2df64105385ae555d08874e3da2983d0cbb	The committee's purpose: communicate circumstances and revolutionary sentiment among the colonies.	en	grammar-or-spelling
14e800ee07701c7ab57f0f30d47ae2df64105385ae555d08874e3da2983d0cbb	The committee's purpose: communicate circumstances and revolutionary sentiment among the colonies.	en	different-language
14e800ee07701c7ab57f0f30d47ae2df64105385ae555d08874e3da2983d0cbb	The committee's purpose: communicate circumstances and revolutionary sentiment among the colonies.	en	What  i’m speaking.
158617caae400998ffc1d8dfe044ecb3e0f48b5929a757a67a0a9861bcad05fc	Delta Connection flew to Minneapolis-St.	en	Incomplete.
15aa48111d9aeca1fe2bace8440873cc1f64dedf092b18d3b925518854af2efa	During the Tour she Datet Jorg Weisselberg.	en	grammar-or-spelling
15b6c99dce88c047fe59cf20322fcd73d5542933403384d2d811396b39a8f2b6	Additional awards of are denoted by service stars.	en	grammar-or-spelling
15af7052fed72e56ada9fd9ecbb301e2798bfa5b766e6a0b470a614cab73d758	It is similar to the American term 'midway'.	en	offensive-language
15fc9937b9f51396586b371a80ed964f4eadb96f9404f67c75d0920f8c1d996c	There was no government or military official participation in the ceremony.	en	Microphone not working
162e44651fc5940d39271d073a35645632748f2c894b45d6847cd404cb46e384	He played an active part the Stop the War Coalition.	en	grammar-or-spelling
165db9754ac9513afdc511b03b128d15ab8744dc3183fb1e0c0088b14ffd7f53	The main turbines developed on "Benham"'s trials and were manufactured by Westinghouse.	en	grammar-or-spelling
1646e9d921e14c667002ef0006394363b9da643b82311867ce75dad0a51702d4	Before meeting with "Virginia", the schooner recaptured a Baltimore sloop taken earlier.	en	grammar-or-spelling
165d9d44a87a9d73c2b66ae7e7c473813d31b416b1ba040c7379bc4adbeee962	Bundesliga to the Regionalliga.	en	difficult-pronounce
16640bac954fe75708051aaf1446c90520e4cf9554996c78aa571738d9fef0d9	Decidedly it was the right scrip for his pilgrimage.	en	different-language
166e2c1d79b669e91050f45342cb8318bfe328dd0398b0eca3175a6841c9cdc5	While at Dartmouth, be became a brother of Theta Delta Chi.	en	grammar-or-spelling
168bd1e2ed5a9a31f51800d4a05e5530f0540df7d689d486706942a73334b190	Brodick Castle is a former residence of the Dukes of Hamilton.	en	difficult-pronounce
168e6213fd820971dc1989e90459afdd2253e5fbdce85b729479a2c90beab932	The restaurant's chef now is Oliver Kienast.	en	difficult-pronounce
16506fd9de2f3dd11254cdaf97767b4795e5b52caae8d3aa44749563743d46b5	Blyde means "glad" or "happy" in Dutch, a name derived from a voortrekkers' expedition.	en	difficult-pronounce
1686a4be3417330b69036ed8ab2c020a702fe77aef74b083b5b0e97e76119230	Another theory is that it comes from the Russian word for a merchant, "kupets".	en	different-language
1691ff0d96d5dc90e0f8620f2a9738a1cf69fc96039026f6a490011622dbd3c2	Balgowlah's main commercial area is located on Condamine Street and Sydney Road.	en	difficult-pronounce
1672982194531bfba065626446789430b15ab083781b059deca99f2b68ac01c1	The Spanish toys were called Jadali-Metamol.	en	difficult-pronounce
169082793980f828e538629e519627af1aba4c6e764b2b853e3b9c72bdf81edf	Khadakpurna, Katepurna, referred to as Purna.	en	difficult-pronounce
16a665b862dd9a9b1afbe5dde2c4bc0353f532e88830257f21ab9e26d4283526	Because of this; "Swing" was certified as a platinum single in the United States.	en	grammar-or-spelling
16a0627901162fa6eedb1067d738244996f693f0f31c593fb598e6acd1633c27	Korsun-Shevchenkivskyi is twinned with Gifhorn, Germany.	en	difficult-pronounce
167fd3d0e76914b1a714f4b0fba5f7cfe2aca737435635878bf866051b80e36c	The City of Belgarde, its departments and communal services helped organize the event.	en	grammar-or-spelling
169e33e7eb82095d9894cbffb6cd8a17674f6305ba34d671b81faf0f77d1793d	Podzols cover about worldwide and are usually found under sclerophyllous woody vegetation.	en	difficult-pronounce
16ab867909f4c33de320beefd306a497ba4cddb0c33baa897985cc77e782f6a3	He took a very an active interest in public affairs.	en	grammar-or-spelling
169a9cd3b26aaa5b2ec16dc545d6a3a87e74c72b308f1362de3708eee2b75150	It measures in diameter, and in height.	en	grammar-or-spelling
169e33e7eb82095d9894cbffb6cd8a17674f6305ba34d671b81faf0f77d1793d	Podzols cover about worldwide and are usually found under sclerophyllous woody vegetation.	en	offensive-language
169e33e7eb82095d9894cbffb6cd8a17674f6305ba34d671b81faf0f77d1793d	Podzols cover about worldwide and are usually found under sclerophyllous woody vegetation.	en	grammar-or-spelling
16dc3bac0f47d5e64be469cb10e772d7687b82cf6f21720f9a9773b7051df1f1	Its length is and it is the second longest river bridge in India.	en	grammar-or-spelling
16dc3bac0f47d5e64be469cb10e772d7687b82cf6f21720f9a9773b7051df1f1	Its length is and it is the second longest river bridge in India.	en	grammar-or-spelling
16d72d11bdb805af5b17a71cb50364ddcca076c8fcdd4b397bef5003c50e7841	Imam Abu Dawud was a follower of Hanbali although some have consider him Shafi.	en	grammar-or-spelling
16d90322e0f84bcfa217df7410ff2a33e3114c28c1f1aba32b2fa11007d72549	A semiweekly hack line runed from Bellefontaine to Anna Station, via Lewistown.	en	grammar-or-spelling
16c6990286f751ed00226a4397e0a4045debce3126b5c3654ced6f57cbd7d1fe	A day school that is located less than from Central London.	en	grammar-or-spelling
16d90322e0f84bcfa217df7410ff2a33e3114c28c1f1aba32b2fa11007d72549	A semiweekly hack line runed from Bellefontaine to Anna Station, via Lewistown.	en	grammar-or-spelling
16d72d11bdb805af5b17a71cb50364ddcca076c8fcdd4b397bef5003c50e7841	Imam Abu Dawud was a follower of Hanbali although some have consider him Shafi.	en	grammar-or-spelling
170d5651cbe63a66cb7550298f7fa2e0038f6f4a2e0cdf58c17adc4c1fbdbe2d	His film roles including Mad Max Beyond Thunderdome and Crackerjack.	en	grammar-or-spelling
170e036f451b753c5ca3082aab1beab00aaf919f80bdacf3d03009be7e37861e	The monomeric AuF molecule has been detected in the gas phase.	en	Not sure how you would want AuF pronounced - it would normally be gold flouride if I was talking to a chemist, but I doubt many "listeners" would be able to confirm this.
16f651427b955c1aeb6cd1bf12a8b03aaa1014a2ed519591dd3687d5ce8e76b3	Interstate markers for three-digit routes are wider shields, and respectively.	en	grammar-or-spelling
170eb639e1eafc736665f389b2c969ef48443c4181052033705583fdd7139bb5	Also during the month referred to the forbidding of war.	en	grammar-or-spelling
16fdc6b40cd7b59ffb52734339a5b26bcdd66b0bd34448d8496ef04ea37118ba	Through the later medieval period, Rambervillers belonged to the Bishops opf Metz.	en	grammar-or-spelling
1714ce7785228137d6f060e4e51b0d3634ca275581e96ecddaeff2359da26a29	In the first round, Tien's voice began to crack while singing "Return Home".	en	difficult-pronounce
170a1a5e279e8adb72837e9d227292f98df0f2c78db62c3e0458b1e18125ce51	Zain is an Ismaili Muslim, a minority group in the Shia Sect of Islam.	en	difficult-pronounce
172a76182f00f85a46d3dfcde304984384d62f562bd7b3aad66331946025797e	The writer John Mulvey Ousley was of a later generation of the same family.	en	difficult-pronounce
1719eee513b6edf829ef04fb5f111af7720b942338752fedbefb69858565fc4c	With her son, she competed the hijra and was reconnected with her husband.	en	difficult-pronounce
17247d11e16dc2856ba0368a6eebf5159e84164383f8a78fad06943fed10ef94	In the lawsuit, Dickson claimed that William J.	en	grammar-or-spelling
17247d11e16dc2856ba0368a6eebf5159e84164383f8a78fad06943fed10ef94	In the lawsuit, Dickson claimed that William J.	en	grammar-or-spelling
17471e007995b0f57e12055d853650a5bd6a8bf44c500198625b03ef941d81c3	Trenches were dug amind the hills.	en	grammar-or-spelling
1742fb1305af6e7c848f42a21046b391c0adf35ae130c8334eed5cab04d60b48	With a weight of the statue rests on a pedestal of white Seravezza marble.	en	grammar-or-spelling
175c07b8f6dd64a3076e09481064ab752d0d7116ede2e5425417ee4c0f12d080	The pseudobulb stays dormant, till a new one starts to develop.	en	offensive-language
17456cfa6c4b0268dc2d39230585a0785eb99341f40e3aec18424c4441c12aea	Writers of the Kailyard school included J. M. Barrie, Ian Maclaren, J. J.	en	grammar-or-spelling
1711b7a38664b6bef5aa478509c334027e860781f52886ea8870c1372ce9c410	The Slavonska Avenue intersects Trnje.	en	difficult-pronounce
16f08bf1b80df226e194eb96f0125fe112c27b57480279f0db4ffe61768f498f	The pathway runs for along the river towards Rockland Lake State Park.	en	grammar-or-spelling
16f08bf1b80df226e194eb96f0125fe112c27b57480279f0db4ffe61768f498f	The pathway runs for along the river towards Rockland Lake State Park.	en	grammar-or-spelling
175ede12b6dbc217203af37878be87918b5eaa89cc0b122394375b31f032e098	He is a lecturer in at the University of Hong Kong.	en	grammar-or-spelling
177781b856755daeed97c8487d1e09f1644f90b6a7af6c482cd4ebc0600dbae0	Several grocers and rest stops were built along this intersection, also.	en	grammar-or-spelling
176e493b099fef2ce3048e0b118e2483fca59daa3c396969564d1decfb66e898	Draga was the sixth of seven siblings.	en	grammar-or-spelling
1769392895c9d3f85f739b667e6d6920689d886120d1851073cd211f7d7dcfe6	In its heyday celebrations, socials, and gatherings where held continuously.	en	grammar-or-spelling
177ba892b3c64065e0dad345dd0fc7a33a2fdf49571eae4732bce5becf1175a3	This accompanyes the modell of a Stone I have lately seene; itt weighs Mang.	en	different-language
177c2e667df2a5521d3fe94f1a5dcd86bfcd8c58174352522dffb9a918f17b93	The company produces range of light sport aircraft, training and advanced ultralight aircraft.	en	grammar-or-spelling
177ba892b3c64065e0dad345dd0fc7a33a2fdf49571eae4732bce5becf1175a3	This accompanyes the modell of a Stone I have lately seene; itt weighs Mang.	en	difficult-pronounce
17456cfa6c4b0268dc2d39230585a0785eb99341f40e3aec18424c4441c12aea	Writers of the Kailyard school included J. M. Barrie, Ian Maclaren, J. J.	en	grammar-or-spelling
